title_ru,title_en,book
Крупица истины,A Grain of Truth,The Last Wish
Меньшее зло,The Lesser Evil,The Last Wish
Вопрос цены,A Question of Price,The Last Wish
Край света,The Edge of the World,The Last Wish
Последнее желание,The Last Wish,The Last Wish
Ведьмак,The Witcher,The Last Wish
Глас рассудка,The Voice of Reason,The Last Wish
Предел возможного,The Bounds of Reason,Sword of Destiny
Осколок льда,A Shard of Ice,Sword of Destiny
Вечный огонь,Eternal Flame,Sword of Destiny
Немного жертвенности,A Little Sacrifice,Sword of Destiny
Меч предназначения,The Sword of Destiny,Sword of Destiny
Нечто большее,Something More,Sword of Destiny
